siret,nom,ville,code_postal,activite,effectif
38228749800010,VOLAILLES DES ARBRIEUX,,,,
38237725700011,COMTE,,,,
38238136600048,BISCUITERIE DE PROVENCE,,,,
38243150000034,DELPEYRAT TRAITEUR,,,,
38248830200029,LA TOQUE BLANCHE,,,,
38438512600022,BERTRAND LAFAGE,,,,
38456900000027,RAMAS FERNANDEZ,,,,
38195724000025,RIOU,,,,
38204469100048,LES CHEVALIERS D'ARGOUGES,,,,
37779715400012,BEAUBOUR,,,,
37794276800013,CHAILLOU,,,,
37796934000035,BISCUITERIE PENVEN,,,,
35288192400026,SEAPRAL,,,,
35288355700022,YVELINES SAUMON FUME,,,,
35288753300011,DELICE VIANDE,,,,
35289747400016,BISCUITERIE BROSSEAU,,,,
35323952800063,SIMON,,,,
35325064000011,GODE,,,,
34992697200010,CRAQUELINS CHRISTIAN MARGELY,,,,
34992701200014,EUROGERM,,,,
34992701200048,EUROGERM,,,,
35001528500017,SARL L'ESCARGOT DE PROVENCE,,,,
35245494600067,SANDERS BRETAGNE,,,,
35245494600133,SANDERS BRETAGNE,,,,
35247468800046,SOCIETE DE PRODUCTION D'EXTRAITS ET SYNTHESE,,,,
35255466100053,ARCADIE SUD OUEST,,,,
35259599500023,CAFE & CO,,,,
35268478100029,PLAT,,,,
35269709800015,ALIMENTS DE SERY,,,,
35271474500069,BARRY CALLEBAUT FRANCE,,,,
35275043400040,SICA LES FINS GOURMETS,,,,
35276104300012,ABBAYE DE LA COUDRE,,,,
37817198700019,SARL PENEAU,,,,
37826992200035,BISCUITS FOSSIER,,,,
37828125700014,HOLDING GRAND EXPORT,,,,
37846066100044,LAZO,,,,
37848770600053,UNION NORMANDIE VEXIN,,,,
35099271500036,RIVIERE,,,,
35103184400019,STE ST HUBERT,,,,
35112568700068,L'ATELIER V,,,,
35117676300024,BICKERT,,,,
35117676300040,BICKERT,,,,
35121358200015,RICOLVI,,,,
35195107400027,LES GOURMANDISES DE COYE,,,,
35221428200035,INTERNATIONAL MICROBIO,,,,
35223387800045,BHIKI,,,,
35339084200022,LES VOLAILLES DE BROCELIANDE,,,,
35339534600045,CHOCOLAT WEISS,,,,
35340324900017,LA BISCUITERIE DE CHAMBORD,,,,
35340324900025,LA BISCUITERIE DE CHAMBORD,,,,
35340324900140,LA BISCUITERIE DE CHAMBORD,,,,
35346376300014,MARITIME EXPANSION,,,,
35346376300030,MARITIME EXPANSION,,,,
35347488500020,TOMNANG,,,,
35350513400034,LA SAVOUREUSE,,,,
35351383100027,KOUIGN AMANN BERROU,,,,
35367454200017,INZO SAS,,,,
35367454200074,INZO SAS,,,,
35050253000040,QUALIVIANDE,,,,
35050253000081,QUALIVIANDE,,,,
35065306900038,CHAROLLAIS VIANDES,,,,
35076837000016,SOCIETE DE PROMOTION DE LA CONFISERIE ET DU CHOCOLAT,,,,
35079669400015,EDEN VIANDES,,,,
35081047900013,SAUMEXTRA,,,,
35388667400012,PONCET,,,,
35409047400033,ROTTENSTEIN,,,,
38947725800039,MARECHAL,,,,
38948340500020,TINEL,,,,
38948340500053,TINEL,,,,
38951671700029,SOC COOP AGRIC SARLAT PERIGORD FOIE GRAS,,,,
38951787100015,BILLIONNET,,,,
38898668900015,VILLENEUVE PET FOOD,,,,
38898668900031,VILLENEUVE PET FOOD,,,,
38899606800010,MALATTIA,,,,
38929074300027,BISCUITERIE DU MOUSTOIR,,,,
38491902300042,ORIOL,,,,
38493408900028,SOC TRANSPLUME,,,,
38506541200012,MEDROUMI,,,,
38765883400016,TORREFACTION COTE D'ARGENT,,,,
38852179100037,CHRISTOPHE,,,,
38852179100060,CHRISTOPHE,,,,
38853015600024,FRANCE GENOISE,,,,
38774449300033,AGIS,,,,
38774449300058,AGIS,,,,
38816398200019,PASTOR,,,,
38761107200019,PROMASIE AND CO,,,,
38788005700014,AVI CONSEIL,,,,
38807255500047,[ND],,,,
38862689700036,LE MOULIN DE BAPTISTE,,,,
38862148400020,SOCIETE LACROIX DUBERNET,,,,
38862689700010,LE MOULIN DE BAPTISTE,,,,
38866047400015,HAMEL,,,,
38866963200043,MAGDA,,,,
38866963200076,MAGDA,,,,
38881509400072,PERRAUD,,,,
38883337800010,POLIMEX ALIMENTAIRE,,,,
38885724500020,SARL FUMAGE ARTISANAL DU SICHON,,,,
38815049200014,SAVEURS DU POITOU,,,,
38819732900039,SOCIETE RAM IMPORT,,,,
38824871800024,BLANCHOT,,,,
38825092000039,SOC SOPRES,,,,
38831218300022,PATES FRAICHES COLOMBA,,,,
38842950800020,OLIBET BISCUITS NELLE BISCUIT VILLEDIEU,,,,
38528988900052,LAISOAVINA,,,,
38537158800018,BONNEL,,,,
35213625300023,ZEGANADIN RAMSAMY,,,,
35221987700011,PORTAL,,,,
38260354600054,SARL GERENEE,,,,
38197661200048,CAZORLA,,,,
38200602100010,SA JOLY,,,,
38244736500018,MAS,,,,
38006899900024,[ND],,,,
38023057300038,CLAVIERE VIANDES SA,,,,
37922787900051,EVANGELISTI,,,,
37926939200047,CAFES LE BONIFIEUR,,,,
37932360300033,HEUTROPE,,,,
37934015100198,LOC MARIA,,,,
37934015100024,LOC MARIA,,,,
37936290800079,EUROFLOR DIFFUSION,,,,
37939484400011,MOWI BOULOGNE,,,,
38053886800049,BONNET,,,,
38065830200027,SOC COMMERCIALE ALIMENTAIRE ORLEANAISE,,,,
38148474000026,QUALITE GLACE,,,,
38148474000034,QUALITE GLACE,,,,
38150289700014,FERRAND,,,,
38152390100035,INDENA S.A.S.,,,,
38158949800033,MAISON MER,,,,
35381919600018,EUROPEENNE DE CAFE,,,,
35385759200011,[ND],,,,
35398961900013,VITAL'EAT,,,,
35720005400132,ROQUETTE FRERES,,,,
37608048700055,DOUX,,,,
37628038400011,GUYADER TRAITEUR FRAIS,,,,
37638033300041,BISCUITERIE TRAOU MAD,,,,
37755764000119,TECHNI DESOSS,,,,
37755926500048,PLANTEX,,,,
38087737300023,CASTELLANI,,,,
38095746400023,MONIER SA,,,,
38111375200046,MARTIGNON INTERNATIONAL,,,,
38115920100171,SUD OUEST ALIMENT,,,,
35049939800021,CONVIVIAL,,,,
35121520700017,ALIMENTS GENOUEL,,,,
35138951500047,SERART,,,,
35165503000010,SARL ROLAND REAUTE,,,,
38024809600048,FAVRE,,,,
38014689400049,MARTEL,,,,
37886384900014,L'AILE OU LA CUISSE,,,,
37928360900012,TARIT,,,,
37940368600023,ALGAVI,,,,
39442493100043,BREILLAT,,,,
39445000100026,AUBIN,,,,
39450259500025,SARL GELATISSIMO,,,,
39458364500012,POUPEAU,,,,
39458364500038,POUPEAU,,,,
39352101800027,PAPILLOTE SA,,,,
39357741600018,GILBERT BARADAT,,,,
